,QS-based composition,MLaaS_CS,QualityCategory,model category,Rule-Based AC
639,1,1,1,Minist64,0
640,1,1,1,Minist64,1
641,1,1,1,Minist64,0
642,1,1,1,Minist64,0
643,1,1,1,Minist64,0
644,1,1,1,Minist64,0
645,1,1,1,Minist64,0
646,1,1,1,Minist64,1
647,1,1,1,Minist64,0
648,1,1,1,Minist64,1
649,1,1,1,Minist64,0
650,1,1,1,Minist64,0
651,1,1,1,Minist64,0
652,1,1,1,Minist64,1
653,1,1,1,Minist64,0
654,0,1,1,Minist64,0
655,1,1,1,Minist64,1
656,1,1,1,Minist64,0
657,1,1,1,Minist64,0
658,1,1,1,Minist64,0
659,1,1,1,Minist64,1
660,1,1,1,Minist64,0
661,1,1,1,Minist64,1
662,1,1,1,Minist64,0
663,0,1,1,Minist64,0
664,1,1,1,Minist64,0
665,0,1,1,Minist64,0
666,1,1,1,Minist64,1
667,1,1,1,Minist64,0
668,1,1,1,Minist64,0
669,1,1,1,Minist64,0
670,1,1,1,Minist64,0
671,1,1,1,Minist64,0
672,1,1,1,Minist64,0
673,1,1,1,Minist64,0
674,1,1,1,Minist64,0
675,1,1,1,Minist64,0
676,1,1,1,Minist64,0
677,1,1,1,Minist64,0
678,1,1,1,Minist64,0
679,1,1,1,Minist64,0
680,1,1,1,Minist64,0
681,1,1,1,Minist64,0
682,1,1,1,Minist64,0
683,1,1,1,Minist64,0
684,1,1,1,Minist64,0
685,1,1,1,Minist64,0
686,1,1,1,Minist64,0
687,1,1,1,Minist64,0
688,1,1,1,Minist64,0
689,1,1,1,Minist64,0
690,1,1,1,Minist64,0
691,1,1,1,Minist64,0
692,1,1,1,Minist64,0
693,1,1,1,Minist64,0
694,1,1,1,Minist64,0
695,1,1,1,Minist64,0
696,1,1,1,Minist64,0
697,1,1,1,Minist64,0
698,1,1,1,Minist64,0
699,1,1,1,Minist64,0
700,1,1,1,Minist64,0
701,1,1,1,Minist64,0
702,1,1,1,Minist64,0
703,1,1,1,Minist64,0
704,1,1,1,Minist64,0
705,1,1,1,Minist64,0
706,1,1,1,Minist64,1
707,1,1,1,Minist64,0
708,1,1,1,Minist64,0
709,1,1,1,Minist64,0
710,1,1,1,Minist64,0
711,1,1,1,Minist64,0
712,1,1,1,Minist64,0
713,1,1,1,Minist64,0
714,1,1,1,Minist64,0
715,1,1,1,Minist64,0
716,1,1,1,Minist64,0
717,1,1,1,Minist64,0
718,1,1,1,Minist64,0
719,1,1,1,Minist64,0
720,1,1,1,Minist64,0
721,1,1,1,Minist64,0
722,1,1,1,Minist64,0
723,1,1,1,Minist64,0
724,1,1,1,Minist64,0
725,1,1,1,Minist64,0
726,1,1,1,Minist64,0
727,1,1,1,Minist64,0
728,1,1,1,Minist64,0
729,1,1,1,Minist64,0
730,1,1,1,Minist64,0
731,1,1,1,Minist64,0
732,1,1,1,Minist64,0
733,1,1,1,Minist64,0
734,1,1,1,Minist64,0
735,1,1,1,Minist64,0
736,1,1,1,Minist64,0
737,1,1,1,Minist64,0
738,1,1,1,Minist64,0
739,1,1,1,Minist64,0
740,1,1,1,Minist64,0
741,1,1,1,Minist64,0
742,1,1,1,Minist64,0
743,1,1,1,Minist64,0
744,1,1,1,Minist64,0
745,1,1,1,Minist64,0
746,1,1,1,Minist64,0
747,1,1,1,Minist64,0
748,1,1,1,Minist64,0
749,1,1,1,Minist64,0
750,1,1,1,Minist64,0
751,1,1,1,Minist64,0
752,1,1,1,Minist64,0
753,1,1,1,Minist64,0
754,1,1,1,Minist64,0
755,1,1,1,Minist64,0
756,1,1,1,Minist64,0
757,1,1,1,Minist64,0
758,1,1,1,Minist64,0
759,1,1,1,Minist64,0
760,1,1,1,Minist64,0
761,1,1,1,Minist64,0
762,1,1,1,Minist64,0
763,1,1,1,Minist64,0
764,1,1,1,Minist64,0
765,1,1,1,Minist64,0
766,1,1,1,Minist64,0
767,1,1,1,Minist64,0
768,1,1,1,Minist64,0
769,1,1,1,Minist64,0
770,1,1,1,Minist64,0
771,1,1,1,Minist64,0
772,1,1,1,Minist64,0
773,1,1,1,Minist64,0
774,1,1,1,Minist64,0
775,1,1,1,Minist64,0
776,1,1,1,Minist64,0
777,1,1,1,Minist64,0
778,1,1,1,Minist64,0
779,1,1,1,Minist64,0
780,1,1,1,Minist64,0
781,1,1,1,Minist64,0
782,1,1,1,Minist64,0
783,1,1,1,Minist64,0
784,1,1,1,Minist64,0
785,1,1,1,Minist64,0
786,1,1,1,Minist64,0
787,1,1,1,Minist64,0
788,1,1,1,Minist64,0
789,1,1,1,Minist64,0
790,1,1,1,Minist64,0
791,1,1,1,Minist64,0
792,1,1,1,Minist64,0
793,1,1,1,Minist64,0
794,1,1,1,Minist64,0
795,1,1,1,Minist64,0
796,1,1,1,Minist64,0
797,1,1,1,Minist64,0
798,1,1,1,Minist64,0
799,1,1,1,Minist64,0
800,1,1,1,Minist64,0
801,1,1,1,Minist64,0
802,1,1,1,Minist64,0
803,1,1,1,Minist64,0
804,1,1,1,Minist64,0
805,1,1,1,Minist64,0
806,1,1,1,Minist64,0
807,1,1,1,Minist64,0
808,1,1,1,Minist64,0
809,1,1,1,Minist64,0
810,1,1,1,Minist64,0
811,1,1,1,Minist64,0
812,1,1,1,Minist64,0
813,1,1,1,Minist64,0
814,1,1,1,Minist64,0
815,1,1,1,Minist64,0
816,0,1,1,Minist64,0
817,1,1,1,Minist64,0
818,1,1,1,Minist64,0
819,1,1,1,Minist64,0
820,1,1,1,Minist64,0
821,1,1,1,Minist64,0
822,1,1,1,Minist64,0
823,1,1,1,Minist64,0
824,1,1,1,Minist64,0
825,1,1,1,Minist64,0
826,1,1,1,Minist64,0
827,1,1,1,Minist64,0
828,1,1,1,Minist64,0
829,1,1,1,Minist64,0
830,1,1,1,Minist64,0
831,1,1,1,Minist64,0
832,1,0,0,FMinist16,0
833,1,0,0,FMinist16,0
834,1,0,0,FMinist16,0
835,1,0,0,FMinist16,0
836,1,0,0,FMinist16,0
837,1,0,0,FMinist16,0
838,1,0,0,FMinist16,0
839,1,0,0,FMinist16,0
840,1,0,0,FMinist16,0
841,1,0,0,FMinist16,0
842,1,0,0,FMinist16,0
843,1,0,0,FMinist16,0
844,1,0,0,FMinist16,0
845,1,0,0,FMinist16,0
846,1,0,0,FMinist16,0
847,1,0,0,FMinist16,0
848,1,0,0,FMinist16,0
849,1,0,0,FMinist16,0
850,1,0,0,FMinist16,0
851,1,0,0,FMinist16,0
852,1,0,0,FMinist16,0
853,1,0,0,FMinist16,0
854,1,0,0,FMinist16,0
855,1,0,0,FMinist16,0
856,1,0,0,FMinist16,0
857,1,0,0,FMinist16,0
858,1,0,0,FMinist16,0
859,1,0,0,FMinist16,0
860,1,0,0,FMinist16,0
861,1,0,0,FMinist16,0
862,1,0,0,FMinist16,0
863,1,0,0,FMinist16,0
864,1,0,0,FMinist16,0
865,1,0,0,FMinist16,0
866,1,0,0,FMinist16,0
867,1,0,0,FMinist16,0
868,1,0,0,FMinist16,0
869,1,0,0,FMinist16,0
870,1,0,0,FMinist16,0
871,1,0,0,FMinist16,0
872,1,0,0,FMinist16,0
873,1,0,0,FMinist16,0
874,1,0,0,FMinist16,0
875,1,0,0,FMinist16,0
876,1,0,0,FMinist16,0
877,1,0,0,FMinist16,0
878,1,0,0,FMinist16,0
879,1,0,0,FMinist16,0
880,1,0,0,FMinist16,0
881,1,0,0,FMinist16,0
882,1,0,0,FMinist16,0
883,1,0,0,FMinist16,0
884,1,0,0,FMinist16,0
885,1,0,0,FMinist16,0
886,1,0,0,FMinist16,0
887,1,0,0,FMinist16,0
888,1,0,0,FMinist16,0
889,1,0,0,FMinist16,0
890,1,0,0,FMinist16,0
891,1,0,0,FMinist16,0
892,1,0,0,FMinist16,0
893,1,0,0,FMinist16,0
894,1,0,0,FMinist16,0
895,1,0,0,FMinist16,0
896,1,0,0,FMinist16,0
897,1,0,0,FMinist16,0
898,1,0,0,FMinist16,0
899,1,0,0,FMinist16,0
900,1,0,0,FMinist16,0
901,1,0,0,FMinist16,0
902,1,0,0,FMinist16,0
903,1,0,0,FMinist16,0
904,1,0,0,FMinist16,0
905,1,0,0,FMinist16,0
906,1,0,0,FMinist16,0
907,1,0,0,FMinist16,0
908,1,0,0,FMinist16,0
909,1,0,0,FMinist16,0
910,1,0,0,FMinist16,0
911,1,0,0,FMinist16,0
912,1,0,0,FMinist16,0
913,1,0,0,FMinist16,0
914,1,0,0,FMinist16,0
